cropFileName,cropPath,subset,className,sourceImageFileName,sourceImageStem,xmlFileName,xmlStem,xmlFilenameField,xmlFilenameFieldStem,objectIndexInSourceImage,sourceImageObjectCount,sourceImageDistinctClassCount,hasXmlFilenameMismatch,duplicateGroupSize,isExactDuplicateImage,isCrossSplitDuplicateImage,originalXmin,originalYmin,originalXmax,originalYmax,cropXmin,cropYmin,cropXmax,cropYmax,cropWidth,cropHeight,cropArea,bboxWidth,bboxHeight,bboxArea
test__521__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__521__obj002__corrosion.png,test,corrosion,521.jpg,521,521.xml,521,521.jpg,521,2,2,1,0,1,0,0,602,531,639,1019,602,531,639,1019,37,488,18056,37,488,18056
test__546__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__546__obj001__corrosion.png,test,corrosion,546.jpg,546,546.xml,546,546.jpg,546,1,3,1,0,1,0,0,581,211,698,700,581,211,698,700,117,489,57213,117,489,57213
test__546__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__546__obj002__corrosion.png,test,corrosion,546.jpg,546,546.xml,546,546.jpg,546,2,3,1,0,1,0,0,581,703,647,967,581,703,647,967,66,264,17424,66,264,17424
test__546__obj003__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__546__obj003__corrosion.png,test,corrosion,546.jpg,546,546.xml,546,546.jpg,546,3,3,1,0,1,0,0,631,58,683,149,631,58,683,149,52,91,4732,52,91,4732
test__566__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__566__obj001__corrosion.png,test,corrosion,566.jpg,566,566.xml,566,566.jpg,566,1,1,1,0,1,0,0,378,6,619,889,378,6,619,889,241,883,212803,241,883,212803
test__598__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__598__obj001__corrosion.png,test,corrosion,598.jpg,598,598.xml,598,598.jpg,598,1,2,1,0,1,0,0,470,24,547,603,470,24,547,603,77,579,44583,77,579,44583
test__598__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__598__obj002__corrosion.png,test,corrosion,598.jpg,598,598.xml,598,598.jpg,598,2,2,1,0,1,0,0,483,772,558,1017,483,772,558,1017,75,245,18375,75,245,18375
test__65__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__65__obj001__corrosion.png,test,corrosion,65.jpg,65,65.xml,65,65.jpg,65,1,1,1,0,1,0,0,87,39,445,989,87,39,445,989,358,950,340100,358,950,340100
test__650__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__650__obj001__corrosion.png,test,corrosion,650.jpg,650,650.xml,650,650.jpg,650,1,1,1,0,1,0,0,533,20,684,941,533,20,684,941,151,921,139071,151,921,139071
test__658__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__658__obj001__corrosion.png,test,corrosion,658.jpg,658,658.xml,658,658.jpg,658,1,1,1,0,1,0,0,452,16,639,991,452,16,639,991,187,975,182325,187,975,182325
test__704__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__704__obj001__corrosion.png,test,corrosion,704.jpg,704,704.xml,704,704.jpg,704,1,1,1,0,1,0,0,548,30,728,1003,548,30,728,1003,180,973,175140,180,973,175140
test__775__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__775__obj001__corrosion.png,test,corrosion,775.jpg,775,775.xml,775,158.jpg,158,1,2,2,1,1,0,0,259,327,356,449,259,327,356,449,97,122,11834,97,122,11834
test__778__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__778__obj001__corrosion.png,test,corrosion,778.jpg,778,778.xml,778,161.jpg,161,1,1,1,1,1,0,0,450,8,878,1020,450,8,878,1020,428,1012,433136,428,1012,433136
test__865__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__865__obj001__corrosion.png,test,corrosion,865.jpg,865,865.xml,865,339.jpg,339,1,1,1,1,1,0,0,17,488,917,580,17,488,917,580,900,92,82800,900,92,82800
test__881__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__881__obj001__corrosion.png,test,corrosion,881.jpg,881,881.xml,881,370.jpg,370,1,3,1,1,1,0,0,34,195,278,411,34,195,278,411,244,216,52704,244,216,52704
test__881__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__881__obj002__corrosion.png,test,corrosion,881.jpg,881,881.xml,881,370.jpg,370,2,3,1,1,1,0,0,302,395,514,650,302,395,514,650,212,255,54060,212,255,54060
test__881__obj003__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__881__obj003__corrosion.png,test,corrosion,881.jpg,881,881.xml,881,370.jpg,370,3,3,1,1,1,0,0,534,555,877,864,534,555,877,864,343,309,105987,343,309,105987
test__882__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__882__obj001__corrosion.png,test,corrosion,882.jpg,882,882.xml,882,373.jpg,373,1,1,1,1,1,0,0,39,425,969,516,39,425,969,516,930,91,84630,930,91,84630
test__887__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__887__obj001__corrosion.png,test,corrosion,887.jpg,887,887.xml,887,384.jpg,384,1,1,1,1,1,0,0,420,6,639,972,420,6,639,972,219,966,211554,219,966,211554
test__919__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__919__obj001__corrosion.png,test,corrosion,919.jpg,919,919.xml,919,459.jpg,459,1,2,1,1,1,0,0,444,505,509,1013,444,505,509,1013,65,508,33020,65,508,33020
test__919__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__919__obj002__corrosion.png,test,corrosion,919.jpg,919,919.xml,919,459.jpg,459,2,2,1,1,1,0,0,464,6,570,500,464,6,570,500,106,494,52364,106,494,52364
test__935__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__935__obj001__corrosion.png,test,corrosion,935.jpg,935,935.xml,935,5.jpg,5,1,3,1,1,1,0,0,5,222,361,306,5,222,361,306,356,84,29904,356,84,29904
test__935__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__935__obj002__corrosion.png,test,corrosion,935.jpg,935,935.xml,935,5.jpg,5,2,3,1,1,1,0,0,367,269,602,367,367,269,602,367,235,98,23030,235,98,23030
test__935__obj003__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__935__obj003__corrosion.png,test,corrosion,935.jpg,935,935.xml,935,5.jpg,5,3,3,1,1,1,0,0,609,311,911,430,609,311,911,430,302,119,35938,302,119,35938
test__959__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__959__obj001__corrosion.png,test,corrosion,959.jpg,959,959.xml,959,561.jpg,561,1,1,1,1,1,0,0,197,8,361,614,197,8,361,614,164,606,99384,164,606,99384
test__1055__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__1055__obj001__crack.png,test,crack,1055.jpg,1055,1055.xml,1055,8.jpg,8,1,1,1,1,1,0,0,484,60,617,658,484,60,617,658,133,598,79534,133,598,79534
test__1058__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__1058__obj001__crack.png,test,crack,1058.jpg,1058,1058.xml,1058,89.jpg,89,1,2,1,1,1,0,0,106,333,191,644,106,333,191,644,85,311,26435,85,311,26435
test__1058__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__1058__obj002__crack.png,test,crack,1058.jpg,1058,1058.xml,1058,89.jpg,89,2,2,1,1,1,0,0,383,100,592,528,383,100,592,528,209,428,89452,209,428,89452
test__216__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__216__obj001__crack.png,test,crack,216.jpg,216,216.xml,216,216.jpg,216,1,1,1,0,1,0,0,478,111,556,175,478,111,556,175,78,64,4992,78,64,4992
test__233__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__233__obj001__crack.png,test,crack,233.jpg,233,233.xml,233,233.jpg,233,1,2,1,0,1,0,0,252,338,314,561,252,338,314,561,62,223,13826,62,223,13826
test__233__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__233__obj002__crack.png,test,crack,233.jpg,233,233.xml,233,233.jpg,233,2,2,1,0,1,0,0,452,195,623,492,452,195,623,492,171,297,50787,171,297,50787
test__238__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__238__obj001__crack.png,test,crack,238.jpg,238,238.xml,238,238.jpg,238,1,2,1,0,1,0,0,106,172,294,316,106,172,294,316,188,144,27072,188,144,27072
test__238__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__238__obj002__crack.png,test,crack,238.jpg,238,238.xml,238,238.jpg,238,2,2,1,0,1,0,0,578,49,767,206,578,49,767,206,189,157,29673,189,157,29673
test__250__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__250__obj001__crack.png,test,crack,250.jpg,250,250.xml,250,250.jpg,250,1,1,1,0,1,0,0,678,286,819,530,678,286,819,530,141,244,34404,141,244,34404
test__252__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__252__obj001__crack.png,test,crack,252.jpg,252,252.xml,252,252.jpg,252,1,1,1,0,1,0,0,469,105,561,174,469,105,561,174,92,69,6348,92,69,6348
test__269__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__269__obj001__crack.png,test,crack,269.jpg,269,269.xml,269,269.jpg,269,1,1,1,0,1,0,0,445,67,567,836,445,67,567,836,122,769,93818,122,769,93818
test__271__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__271__obj001__crack.png,test,crack,271.jpg,271,271.xml,271,271.jpg,271,1,1,1,0,1,0,0,478,106,556,181,478,106,556,181,78,75,5850,78,75,5850
test__318__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__318__obj001__crack.png,test,crack,318.jpg,318,318.xml,318,318.jpg,318,1,1,1,0,1,0,0,684,261,773,764,684,261,773,764,89,503,44767,89,503,44767
test__389__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__389__obj001__crack.png,test,crack,389.jpg,389,389.xml,389,389.jpg,389,1,1,1,0,1,0,0,773,478,884,547,773,478,884,547,111,69,7659,111,69,7659
test__394__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__394__obj001__crack.png,test,crack,394.jpg,394,394.xml,394,394.jpg,394,1,1,1,0,1,0,0,272,320,634,775,272,320,634,775,362,455,164710,362,455,164710
test__440__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__440__obj001__crack.png,test,crack,440.jpg,440,440.xml,440,440.jpg,440,1,1,1,0,1,0,0,356,244,631,830,356,244,631,830,275,586,161150,275,586,161150
test__447__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__447__obj001__crack.png,test,crack,447.jpg,447,447.xml,447,447.jpg,447,1,2,1,0,1,0,0,498,188,734,494,498,188,734,494,236,306,72216,236,306,72216
test__447__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__447__obj002__crack.png,test,crack,447.jpg,447,447.xml,447,447.jpg,447,2,2,1,0,1,0,0,908,331,980,560,908,331,980,560,72,229,16488,72,229,16488
test__473__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__473__obj001__crack.png,test,crack,473.jpg,473,473.xml,473,473.jpg,473,1,1,1,0,1,0,0,145,416,816,705,145,416,816,705,671,289,193919,671,289,193919
test__570__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__570__obj001__crack.png,test,crack,570.jpg,570,570.xml,570,570.jpg,570,1,1,1,0,1,0,0,414,230,602,494,414,230,602,494,188,264,49632,188,264,49632
test__735__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__735__obj001__crack.png,test,crack,735.jpg,735,735.xml,735,735.jpg,735,1,1,1,0,1,0,0,316,14,644,405,316,14,644,405,328,391,128248,328,391,128248
test__762__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__762__obj001__crack.png,test,crack,762.jpg,762,762.xml,762,130.jpg,130,1,2,1,1,1,0,0,100,233,170,583,100,233,170,583,70,350,24500,70,350,24500
test__762__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__762__obj002__crack.png,test,crack,762.jpg,762,762.xml,762,130.jpg,130,2,2,1,1,1,0,0,420,8,697,469,420,8,697,469,277,461,127697,277,461,127697
test__773__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__773__obj001__crack.png,test,crack,773.jpg,773,773.xml,773,152.jpg,152,1,2,1,1,1,0,0,477,261,605,519,477,261,605,519,128,258,33024,128,258,33024
test__773__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__773__obj002__crack.png,test,crack,773.jpg,773,773.xml,773,152.jpg,152,2,2,1,1,1,0,0,706,381,752,597,706,381,752,597,46,216,9936,46,216,9936
test__811__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__811__obj001__crack.png,test,crack,811.jpg,811,811.xml,811,221.jpg,221,1,2,1,1,1,0,0,762,111,881,280,762,111,881,280,119,169,20111,119,169,20111
test__811__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__811__obj002__crack.png,test,crack,811.jpg,811,811.xml,811,221.jpg,221,2,2,1,1,1,0,0,898,588,1022,753,898,588,1022,753,124,165,20460,124,165,20460
test__849__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__849__obj001__crack.png,test,crack,849.jpg,849,849.xml,849,305.jpg,305,1,2,1,1,1,0,0,275,389,323,591,275,389,323,591,48,202,9696,48,202,9696
test__849__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__849__obj002__crack.png,test,crack,849.jpg,849,849.xml,849,305.jpg,305,2,2,1,1,1,0,0,419,263,569,530,419,263,569,530,150,267,40050,150,267,40050
test__88__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__88__obj001__crack.png,test,crack,88.jpg,88,88.xml,88,88.jpg,88,1,1,1,0,1,0,0,580,72,791,370,580,72,791,370,211,298,62878,211,298,62878
test__906__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/crack/test__906__obj001__crack.png,test,crack,906.jpg,906,906.xml,906,431.jpg,431,1,1,1,1,1,0,0,548,172,800,788,548,172,800,788,252,616,155232,252,616,155232
test__103__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/craze/test__103__obj001__craze.png,test,craze,103.jpg,103,103.xml,103,103.jpg,103,1,1,1,0,1,0,0,14,383,812,683,14,383,812,683,798,300,239400,798,300,239400
test__1030__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/craze/test__1030__obj001__craze.png,test,craze,1030.jpg,1030,1030.xml,1030,701.jpg,701,1,1,1,1,1,0,0,227,253,919,1000,227,253,919,1000,692,747,516924,692,747,516924
test__1040__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/craze/test__1040__obj001__craze.png,test,craze,1040.jpg,1040,1040.xml,1040,716.jpg,716,1,2,1,1,1,0,0,600,114,734,963,600,114,734,963,134,849,113766,134,849,113766
test__1040__obj002__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/craze/test__1040__obj002__craze.png,test,craze,1040.jpg,1040,1040.xml,1040,716.jpg,716,2,2,1,1,1,0,0,761,360,1024,917,761,360,1024,917,263,557,146491,263,557,146491
test__141__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/craze/test__141__obj001__craze.png,test,craze,141.jpg,141,141.xml,141,141.jpg,141,1,1,1,0,1,0,0,230,392,1000,675,230,392,1000,675,770,283,217910,770,283,217910
test__156__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/craze/test__156__obj001__craze.png,test,craze,156.jpg,156,156.xml,156,156.jpg,156,1,1,1,0,1,0,0,577,500,825,774,577,500,825,774,248,274,67952,248,274,67952
test__166__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/craze/test__166__obj001__craze.png,test,craze,166.jpg,166,166.xml,166,166.jpg,166,1,1,1,0,1,0,0,295,305,584,406,295,305,584,406,289,101,29189,289,101,29189
test__167__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/craze/test__167__obj001__craze.png,test,craze,167.jpg,167,167.xml,167,167.jpg,167,1,2,1,0,1,0,0,181,8,341,300,181,8,341,300,160,292,46720,160,292,46720
test__167__obj002__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/craze/test__167__obj002__craze.png,test,craze,167.jpg,167,167.xml,167,167.jpg,167,2,2,1,0,1,0,0,422,14,898,800,422,14,898,800,476,786,374136,476,786,374136
