xmlFileName,xmlStem,sourceImageFileName,sourceImageStem,xmlFilenameField,xmlFilenameFieldStem,isXmlFilenameMismatch,className,pose,truncated,difficult,imageWidth,imageHeight,xmin,ymin,xmax,ymax,bboxWidth,bboxHeight,bboxArea,isValidBbox
1017.xml,1017,1017.jpg,1017,1017.jpg,1017,0,hide_craze,Unspecified,0,0,1024,1024,644,747,673,941,29,194,5626,1
1018.xml,1018,1018.jpg,1018,683.jpg,683,1,surface_injure,Unspecified,0,0,1024,1024,444,480,655,644,211,164,34604,1
1018.xml,1018,1018.jpg,1018,683.jpg,683,1,surface_injure,Unspecified,0,0,1024,1024,445,855,550,969,105,114,11970,1
1018.xml,1018,1018.jpg,1018,683.jpg,683,1,surface_injure,Unspecified,0,0,1024,1024,547,66,698,203,151,137,20687,1
1019.xml,1019,1019.jpg,1019,1019.jpg,1019,0,thunderstrike,Unspecified,0,0,1024,1024,420,266,780,883,360,617,222120,1
102.xml,102,102.jpg,102,102.jpg,102,0,thunderstrike,Unspecified,0,0,1024,1024,475,510,602,722,127,212,26924,1
1020.xml,1020,1020.jpg,1020,687.jpg,687,1,surface_injure,Unspecified,0,0,1024,1024,434,570,620,697,186,127,23622,1
1021.xml,1021,1021.jpg,1021,688.jpg,688,1,thunderstrike,Unspecified,0,0,1024,1024,136,522,658,702,522,180,93960,1
1022.xml,1022,1022.jpg,1022,689.jpg,689,1,surface_injure,Unspecified,0,0,1024,1024,398,85,489,299,91,214,19474,1
1022.xml,1022,1022.jpg,1022,689.jpg,689,1,surface_injure,Unspecified,0,0,1024,1024,547,230,672,347,125,117,14625,1
1022.xml,1022,1022.jpg,1022,689.jpg,689,1,surface_injure,Unspecified,0,0,1024,1024,567,549,662,605,95,56,5320,1
1023.xml,1023,1023.jpg,1023,690.jpg,690,1,thunderstrike,Unspecified,0,0,1024,1024,56,627,562,797,506,170,86020,1
1024.xml,1024,1024.jpg,1024,691.jpg,691,1,craze,Unspecified,0,0,1024,1024,281,780,727,900,446,120,53520,1
1025.xml,1025,1025.jpg,1025,693.jpg,693,1,hide_craze,Unspecified,0,0,1024,1024,244,158,792,633,548,475,260300,1
1026.xml,1026,1026.jpg,1026,696.jpg,696,1,hide_craze,Unspecified,0,0,1024,1024,148,367,567,597,419,230,96370,1
1026.xml,1026,1026.jpg,1026,696.jpg,696,1,hide_craze,Unspecified,0,0,1024,1024,583,545,998,670,415,125,51875,1
1027.xml,1027,1027.jpg,1027,698.jpg,698,1,hide_craze,Unspecified,0,0,1024,1024,56,158,681,806,625,648,405000,1
1028.xml,1028,1028.jpg,1028,699.jpg,699,1,thunderstrike,Unspecified,0,0,1024,1024,150,578,320,869,170,291,49470,1
1029.xml,1029,1029.jpg,1029,700.jpg,700,1,surface_injure,Unspecified,0,0,1024,1024,305,102,1016,278,711,176,125136,1
103.xml,103,103.jpg,103,103.jpg,103,0,craze,Unspecified,0,0,1024,1024,14,383,812,683,798,300,239400,1
1030.xml,1030,1030.jpg,1030,701.jpg,701,1,craze,Unspecified,0,0,1024,1024,227,253,919,1000,692,747,516924,1
1031.xml,1031,1031.jpg,1031,704.jpg,704,1,corrosion,Unspecified,0,0,1024,1024,548,30,728,1003,180,973,175140,1
1032.xml,1032,1032.jpg,1032,706.jpg,706,1,hide_craze,Unspecified,0,0,1024,1024,142,303,683,625,541,322,174202,1
1033.xml,1033,1033.jpg,1033,708.jpg,708,1,thunderstrike,Unspecified,0,0,1024,1024,270,103,616,281,346,178,61588,1
1034.xml,1034,1034.jpg,1034,709.jpg,709,1,hide_craze,Unspecified,0,0,1024,1024,342,300,430,772,88,472,41536,1
1035.xml,1035,1035.jpg,1035,71.jpg,71,1,craze,Unspecified,0,0,1024,1024,108,377,1011,783,903,406,366618,1
1036.xml,1036,1036.jpg,1036,710.jpg,710,1,craze,Unspecified,0,0,1024,1024,120,439,917,870,797,431,343507,1
1037.xml,1037,1037.jpg,1037,712.jpg,712,1,corrosion,Unspecified,0,0,1024,1024,467,27,608,1005,141,978,137898,1
1038.xml,1038,1038.jpg,1038,713.jpg,713,1,craze,Unspecified,0,0,1024,1024,281,13,583,780,302,767,231634,1
1039.xml,1039,1039.jpg,1039,715.jpg,715,1,craze,Unspecified,0,0,1024,1024,298,105,653,652,355,547,194185,1
104.xml,104,104.jpg,104,104.jpg,104,0,crack,Unspecified,0,0,1024,1024,406,419,697,663,291,244,71004,1
1040.xml,1040,1040.jpg,1040,716.jpg,716,1,craze,Unspecified,0,0,1024,1024,600,114,734,963,134,849,113766,1
1040.xml,1040,1040.jpg,1040,716.jpg,716,1,craze,Unspecified,1,0,1024,1024,761,360,1024,917,263,557,146491,1
1041.xml,1041,1041.jpg,1041,717.jpg,717,1,craze,Unspecified,0,0,1024,1024,620,114,859,492,239,378,90342,1
1041.xml,1041,1041.jpg,1041,717.jpg,717,1,hide_craze,Unspecified,0,0,1024,1024,478,522,698,835,220,313,68860,1
1042.xml,1042,1042.jpg,1042,72.jpg,72,1,corrosion,Unspecified,0,0,1024,1024,462,378,503,944,41,566,23206,1
1043.xml,1043,1043.jpg,1043,722.jpg,722,1,corrosion,Unspecified,1,0,1024,1024,116,2,600,1024,484,1022,494648,1
1044.xml,1044,1044.jpg,1044,723.jpg,723,1,hide_craze,Unspecified,0,0,1024,1024,128,164,445,272,317,108,34236,1
1045.xml,1045,1045.jpg,1045,727.jpg,727,1,corrosion,Unspecified,0,0,1024,1024,700,149,833,764,133,615,81795,1
1046.xml,1046,1046.jpg,1046,1046.jpg,1046,0,craze,Unspecified,0,0,1024,1024,461,285,767,702,306,417,127602,1
1047.xml,1047,1047.jpg,1047,731.jpg,731,1,craze,Unspecified,0,0,1024,1024,587,6,672,1020,85,1014,86190,1
1048.xml,1048,1048.jpg,1048,1048.jpg,1048,0,corrosion,Unspecified,0,0,1024,1024,483,241,583,995,100,754,75400,1
1049.xml,1049,1049.jpg,1049,733.jpg,733,1,corrosion,Unspecified,0,0,1024,1024,2,395,489,503,487,108,52596,1
1049.xml,1049,1049.jpg,1049,733.jpg,733,1,corrosion,Unspecified,0,0,1024,1024,514,422,1022,583,508,161,81788,1
105.xml,105,105.jpg,105,105.jpg,105,0,surface_injure,Unspecified,0,0,1024,1024,364,456,564,853,200,397,79400,1
1050.xml,1050,1050.jpg,1050,735.jpg,735,1,crack,Unspecified,0,0,1024,1024,316,14,644,405,328,391,128248,1
1051.xml,1051,1051.jpg,1051,74.jpg,74,1,craze,Unspecified,0,0,1024,1024,425,688,850,836,425,148,62900,1
1052.xml,1052,1052.jpg,1052,75.jpg,75,1,surface_injure,Unspecified,0,0,1024,1024,103,586,177,1017,74,431,31894,1
1052.xml,1052,1052.jpg,1052,75.jpg,75,1,surface_injure,Unspecified,1,0,1024,1024,727,6,1024,325,297,319,94743,1
1053.xml,1053,1053.jpg,1053,76.jpg,76,1,craze,Unspecified,0,0,1024,1024,172,181,694,606,522,425,221850,1
1054.xml,1054,1054.jpg,1054,78.jpg,78,1,crack,Unspecified,0,0,1024,1024,527,169,670,761,143,592,84656,1
1055.xml,1055,1055.jpg,1055,8.jpg,8,1,crack,Unspecified,0,0,1024,1024,484,60,617,658,133,598,79534,1
1056.xml,1056,1056.jpg,1056,84.jpg,84,1,thunderstrike,Unspecified,0,0,1024,1024,620,608,766,872,146,264,38544,1
1057.xml,1057,1057.jpg,1057,85.jpg,85,1,crack,Unspecified,0,0,1024,1024,484,166,542,220,58,54,3132,1
1058.xml,1058,1058.jpg,1058,89.jpg,89,1,crack,Unspecified,0,0,1024,1024,106,333,191,644,85,311,26435,1
1058.xml,1058,1058.jpg,1058,89.jpg,89,1,crack,Unspecified,0,0,1024,1024,383,100,592,528,209,428,89452,1
1059.xml,1059,1059.jpg,1059,9.jpg,9,1,hide_craze,Unspecified,0,0,1024,1024,612,714,812,953,200,239,47800,1
106.xml,106,106.jpg,106,106.jpg,106,0,surface_injure,Unspecified,0,0,1024,1024,337,805,372,860,35,55,1925,1
106.xml,106,106.jpg,106,106.jpg,106,0,surface_injure,Unspecified,0,0,1024,1024,616,792,653,1002,37,210,7770,1
106.xml,106,106.jpg,106,106.jpg,106,0,surface_injure,Unspecified,0,0,1024,1024,619,627,753,705,134,78,10452,1
106.xml,106,106.jpg,106,106.jpg,106,0,surface_injure,Unspecified,0,0,1024,1024,623,520,661,614,38,94,3572,1
106.xml,106,106.jpg,106,106.jpg,106,0,surface_injure,Unspecified,0,0,1024,1024,631,80,698,316,67,236,15812,1
106.xml,106,106.jpg,106,106.jpg,106,0,surface_injure,Unspecified,0,0,1024,1024,700,92,752,142,52,50,2600,1
106.xml,106,106.jpg,106,106.jpg,106,0,surface_injure,Unspecified,0,0,1024,1024,789,11,831,49,42,38,1596,1
1060.xml,1060,1060.jpg,1060,1060.jpg,1060,0,surface_injure,Unspecified,1,0,1024,1024,1,1,533,233,532,232,123424,1
1060.xml,1060,1060.jpg,1060,1060.jpg,1060,0,surface_injure,Unspecified,0,0,1024,1024,77,578,134,1017,57,439,25023,1
1060.xml,1060,1060.jpg,1060,1060.jpg,1060,0,surface_injure,Unspecified,1,0,1024,1024,548,1,994,472,446,471,210066,1
1061.xml,1061,1061.jpg,1061,1061.jpg,1061,0,craze,Unspecified,0,0,1024,1024,301,456,647,860,346,404,139784,1
1062.xml,1062,1062.jpg,1062,94.jpg,94,1,crack,Unspecified,0,0,1024,1024,273,394,319,594,46,200,9200,1
1062.xml,1062,1062.jpg,1062,94.jpg,94,1,crack,Unspecified,0,0,1024,1024,428,266,566,536,138,270,37260,1
1063.xml,1063,1063.jpg,1063,1063.jpg,1063,0,corrosion,Unspecified,0,0,1024,1024,241,530,323,1011,82,481,39442,1
1063.xml,1063,1063.jpg,1063,1063.jpg,1063,0,corrosion,Unspecified,0,0,1024,1024,295,13,423,516,128,503,64384,1
1064.xml,1064,1064.jpg,1064,1064.jpg,1064,0,craze,Unspecified,0,0,1024,1024,322,316,402,555,80,239,19120,1
107.xml,107,107.jpg,107,107.jpg,107,0,crack,Unspecified,0,0,1024,1024,356,99,397,310,41,211,8651,1
107.xml,107,107.jpg,107,107.jpg,107,0,crack,Unspecified,0,0,1024,1024,472,124,517,353,45,229,10305,1
108.xml,108,108.jpg,108,108.jpg,108,0,surface_injure,Unspecified,0,0,1024,1024,342,10,534,935,192,925,177600,1
108.xml,108,108.jpg,108,108.jpg,108,0,surface_injure,Unspecified,0,0,1024,1024,928,2,1014,781,86,779,66994,1
108.xml,108,108.jpg,108,108.jpg,108,0,thunderstrike,Unspecified,0,0,1024,1024,542,313,911,800,369,487,179703,1
109.xml,109,109.jpg,109,109.jpg,109,0,surface_injure,Unspecified,0,0,1024,1024,180,470,819,549,639,79,50481,1
11.xml,11,11.jpg,11,11.jpg,11,0,surface_injure,Unspecified,0,0,1024,1024,741,106,825,177,84,71,5964,1
110.xml,110,110.jpg,110,110.jpg,110,0,surface_injure,Unspecified,0,0,1024,1024,41,128,616,213,575,85,48875,1
111.xml,111,111.jpg,111,111.jpg,111,0,crack,Unspecified,0,0,1024,1024,416,263,586,402,170,139,23630,1
112.xml,112,112.jpg,112,112.jpg,112,0,surface_injure,Unspecified,0,0,1024,1024,56,95,691,281,635,186,118110,1
112.xml,112,112.jpg,112,112.jpg,112,0,thunderstrike,Unspecified,0,0,1024,1024,250,320,600,695,350,375,131250,1
113.xml,113,113.jpg,113,113.jpg,113,0,corrosion,Unspecified,1,0,1024,1024,462,502,572,1024,110,522,57420,1
113.xml,113,113.jpg,113,113.jpg,113,0,corrosion,Unspecified,0,0,1024,1024,536,5,587,488,51,483,24633,1
114.xml,114,114.jpg,114,114.jpg,114,0,hide_craze,Unspecified,0,0,1024,1024,639,625,691,985,52,360,18720,1
114.xml,114,114.jpg,114,114.jpg,114,0,hide_craze,Unspecified,0,0,1024,1024,689,10,773,606,84,596,50064,1
115.xml,115,115.jpg,115,115.jpg,115,0,corrosion,Unspecified,0,0,1024,1024,302,438,447,977,145,539,78155,1
115.xml,115,115.jpg,115,115.jpg,115,0,corrosion,Unspecified,0,0,1024,1024,406,24,555,427,149,403,60047,1
116.xml,116,116.jpg,116,116.jpg,116,0,hide_craze,Unspecified,0,0,1024,1024,437,86,486,439,49,353,17297,1
116.xml,116,116.jpg,116,116.jpg,116,0,hide_craze,Unspecified,0,0,1024,1024,456,450,481,516,25,66,1650,1
116.xml,116,116.jpg,116,116.jpg,116,0,surface_injure,Unspecified,0,0,1024,1024,491,670,536,714,45,44,1980,1
117.xml,117,117.jpg,117,117.jpg,117,0,craze,Unspecified,0,0,1024,1024,402,356,1023,1008,621,652,404892,1
118.xml,118,118.jpg,118,118.jpg,118,0,surface_injure,Unspecified,0,0,1024,1024,695,277,814,1002,119,725,86275,1
119.xml,119,119.jpg,119,119.jpg,119,0,thunderstrike,Unspecified,0,0,1024,1024,547,449,639,642,92,193,17756,1
12.xml,12,12.jpg,12,12.jpg,12,0,crack,Unspecified,1,0,1024,1024,355,1,486,727,131,726,95106,1
120.xml,120,120.jpg,120,120.jpg,120,0,corrosion,Unspecified,0,0,1024,1024,512,13,647,988,135,975,131625,1
121.xml,121,121.jpg,121,121.jpg,121,0,hide_craze,Unspecified,0,0,1024,1024,722,13,1012,242,290,229,66410,1
122.xml,122,122.jpg,122,122.jpg,122,0,hide_craze,Unspecified,0,0,1024,1024,89,431,336,472,247,41,10127,1
122.xml,122,122.jpg,122,122.jpg,122,0,hide_craze,Unspecified,0,0,1024,1024,762,281,991,306,229,25,5725,1
123.xml,123,123.jpg,123,123.jpg,123,0,craze,Unspecified,0,0,1024,1024,459,20,561,208,102,188,19176,1
123.xml,123,123.jpg,123,123.jpg,123,0,craze,Unspecified,0,0,1024,1024,481,222,595,581,114,359,40926,1
123.xml,123,123.jpg,123,123.jpg,123,0,craze,Unspecified,0,0,1024,1024,492,606,620,944,128,338,43264,1
124.xml,124,124.jpg,124,124.jpg,124,0,hide_craze,Unspecified,0,0,1024,1024,173,13,295,1008,122,995,121390,1
125.xml,125,125.jpg,125,125.jpg,125,0,hide_craze,Unspecified,0,0,1024,1024,330,538,819,569,489,31,15159,1
125.xml,125,125.jpg,125,125.jpg,125,0,hide_craze,Unspecified,0,0,1024,1024,928,544,1023,569,95,25,2375,1
126.xml,126,126.jpg,126,126.jpg,126,0,craze,Unspecified,0,0,1024,1024,56,664,164,872,108,208,22464,1
126.xml,126,126.jpg,126,126.jpg,126,0,craze,Unspecified,0,0,1024,1024,336,339,572,681,236,342,80712,1
126.xml,126,126.jpg,126,126.jpg,126,0,craze,Unspecified,0,0,1024,1024,594,110,702,706,108,596,64368,1
126.xml,126,126.jpg,126,126.jpg,126,0,surface_injure,Unspecified,0,0,1024,1024,694,3,1000,156,306,153,46818,1
127.xml,127,127.jpg,127,127.jpg,127,0,surface_injure,Unspecified,1,0,1024,1024,1,2,117,980,116,978,113448,1
127.xml,127,127.jpg,127,127.jpg,127,0,surface_injure,Unspecified,1,0,1024,1024,125,1,812,391,687,390,267930,1
128.xml,128,128.jpg,128,128.jpg,128,0,surface_injure,Unspecified,0,0,1024,1024,427,780,534,836,107,56,5992,1
129.xml,129,129.jpg,129,129.jpg,129,0,hide_craze,Unspecified,1,0,1024,1024,422,1,562,964,140,963,134820,1
13.xml,13,13.jpg,13,13.jpg,13,0,hide_craze,Unspecified,0,0,1024,1024,11,649,162,808,151,159,24009,1
13.xml,13,13.jpg,13,13.jpg,13,0,hide_craze,Unspecified,0,0,1024,1024,483,611,514,775,31,164,5084,1
130.xml,130,130.jpg,130,130.jpg,130,0,crack,Unspecified,0,0,1024,1024,100,233,170,583,70,350,24500,1
130.xml,130,130.jpg,130,130.jpg,130,0,crack,Unspecified,0,0,1024,1024,420,8,697,469,277,461,127697,1
131.xml,131,131.jpg,131,131.jpg,131,0,surface_injure,Unspecified,0,0,1024,1024,391,650,520,830,129,180,23220,1
132.xml,132,132.jpg,132,132.jpg,132,0,corrosion,Unspecified,0,0,1024,1024,267,513,530,592,263,79,20777,1
132.xml,132,132.jpg,132,132.jpg,132,0,corrosion,Unspecified,0,0,1024,1024,550,585,956,674,406,89,36134,1
133.xml,133,133.jpg,133,133.jpg,133,0,crack,Unspecified,0,0,1024,1024,420,50,555,630,135,580,78300,1
134.xml,134,134.jpg,134,134.jpg,134,0,crack,Unspecified,0,0,1024,1024,472,252,633,420,161,168,27048,1
135.xml,135,135.jpg,135,135.jpg,135,0,craze,Unspecified,0,0,1024,1024,9,10,220,197,211,187,39457,1
135.xml,135,135.jpg,135,135.jpg,135,0,craze,Unspecified,0,0,1024,1024,253,192,545,528,292,336,98112,1
135.xml,135,135.jpg,135,135.jpg,135,0,craze,Unspecified,0,0,1024,1024,580,463,987,861,407,398,161986,1
136.xml,136,136.jpg,136,136.jpg,136,0,crack,Unspecified,0,0,1024,1024,689,569,997,906,308,337,103796,1
137.xml,137,137.jpg,137,137.jpg,137,0,crack,Unspecified,0,0,1024,1024,567,42,798,406,231,364,84084,1
138.xml,138,138.jpg,138,138.jpg,138,0,hide_craze,Unspecified,0,0,1024,1024,2,77,969,272,967,195,188565,1
139.xml,139,139.jpg,139,139.jpg,139,0,craze,Unspecified,0,0,1024,1024,316,324,456,458,140,134,18760,1
139.xml,139,139.jpg,139,139.jpg,139,0,craze,Unspecified,0,0,1024,1024,459,477,673,710,214,233,49862,1
139.xml,139,139.jpg,139,139.jpg,139,0,craze,Unspecified,0,0,1024,1024,680,725,937,995,257,270,69390,1
14.xml,14,14.jpg,14,14.jpg,14,0,hide_craze,Unspecified,0,0,1024,1024,170,910,272,972,102,62,6324,1
14.xml,14,14.jpg,14,14.jpg,14,0,surface_injure,Unspecified,0,0,1024,1024,261,94,327,153,66,59,3894,1
140.xml,140,140.jpg,140,140.jpg,140,0,hide_craze,Unspecified,0,0,1024,1024,311,13,661,520,350,507,177450,1
140.xml,140,140.jpg,140,140.jpg,140,0,hide_craze,Unspecified,0,0,1024,1024,681,527,1014,930,333,403,134199,1
141.xml,141,141.jpg,141,141.jpg,141,0,craze,Unspecified,0,0,1024,1024,230,392,1000,675,770,283,217910,1
142.xml,142,142.jpg,142,142.jpg,142,0,surface_injure,Unspecified,0,0,1024,1024,53,488,947,586,894,98,87612,1
143.xml,143,143.jpg,143,143.jpg,143,0,crack,Unspecified,0,0,1024,1024,370,185,556,819,186,634,117924,1
144.xml,144,144.jpg,144,144.jpg,144,0,hide_craze,Unspecified,0,0,1024,1024,8,411,917,524,909,113,102717,1
144.xml,144,144.jpg,144,144.jpg,144,0,hide_craze,Unspecified,0,0,1024,1024,83,281,125,478,42,197,8274,1
144.xml,144,144.jpg,144,144.jpg,144,0,hide_craze,Unspecified,0,0,1024,1024,198,472,230,764,32,292,9344,1
144.xml,144,144.jpg,144,144.jpg,144,0,hide_craze,Unspecified,0,0,1024,1024,808,252,853,413,45,161,7245,1
145.xml,145,145.jpg,145,145.jpg,145,0,surface_injure,Unspecified,0,0,1024,1024,748,475,958,803,210,328,68880,1
146.xml,146,146.jpg,146,146.jpg,146,0,hide_craze,Unspecified,0,0,1024,1024,312,266,512,725,200,459,91800,1
147.xml,147,147.jpg,147,147.jpg,147,0,hide_craze,Unspecified,0,0,1024,1024,339,505,402,847,63,342,21546,1
148.xml,148,148.jpg,148,148.jpg,148,0,hide_craze,Unspecified,0,0,1024,1024,516,869,602,999,86,130,11180,1
148.xml,148,148.jpg,148,148.jpg,148,0,hide_craze,Unspecified,0,0,1024,1024,531,381,647,516,116,135,15660,1
149.xml,149,149.jpg,149,149.jpg,149,0,surface_injure,Unspecified,0,0,1024,1024,95,700,381,758,286,58,16588,1
15.xml,15,15.jpg,15,15.jpg,15,0,craze,Unspecified,0,0,1024,1024,280,166,703,280,423,114,48222,1
150.xml,150,150.jpg,150,150.jpg,150,0,surface_injure,Unspecified,0,0,1024,1024,608,500,737,633,129,133,17157,1
150.xml,150,150.jpg,150,150.jpg,150,0,surface_injure,Unspecified,0,0,1024,1024,877,541,1019,647,142,106,15052,1
151.xml,151,151.jpg,151,151.jpg,151,0,hide_craze,Unspecified,0,0,1024,1024,614,406,661,885,47,479,22513,1
152.xml,152,152.jpg,152,152.jpg,152,0,crack,Unspecified,0,0,1024,1024,477,261,605,519,128,258,33024,1
152.xml,152,152.jpg,152,152.jpg,152,0,crack,Unspecified,0,0,1024,1024,706,381,752,597,46,216,9936,1
153.xml,153,153.jpg,153,153.jpg,153,0,craze,Unspecified,1,0,1024,1024,427,354,1024,1019,597,665,397005,1
154.xml,154,154.jpg,154,154.jpg,154,0,corrosion,Unspecified,1,0,1024,1024,352,1,625,567,273,566,154518,1
154.xml,154,154.jpg,154,154.jpg,154,0,corrosion,Unspecified,0,0,1024,1024,561,586,745,1014,184,428,78752,1
155.xml,155,155.jpg,155,155.jpg,155,0,surface_injure,Unspecified,0,0,1024,1024,227,278,311,613,84,335,28140,1
155.xml,155,155.jpg,155,155.jpg,155,0,surface_injure,Unspecified,0,0,1024,1024,334,205,761,303,427,98,41846,1
155.xml,155,155.jpg,155,155.jpg,155,0,surface_injure,Unspecified,0,0,1024,1024,334,672,761,736,427,64,27328,1
155.xml,155,155.jpg,155,155.jpg,155,0,surface_injure,Unspecified,0,0,1024,1024,778,194,947,735,169,541,91429,1
155.xml,155,155.jpg,155,155.jpg,155,0,thunderstrike,Unspecified,0,0,1024,1024,323,339,728,661,405,322,130410,1
156.xml,156,156.jpg,156,156.jpg,156,0,craze,Unspecified,0,0,1024,1024,577,500,825,774,248,274,67952,1
157.xml,157,157.jpg,157,157.jpg,157,0,crack,Unspecified,0,0,1024,1024,436,278,505,749,69,471,32499,1
158.xml,158,158.jpg,158,158.jpg,158,0,corrosion,Unspecified,0,0,1024,1024,259,327,356,449,97,122,11834,1
158.xml,158,158.jpg,158,158.jpg,158,0,thunderstrike,Unspecified,0,0,1024,1024,870,339,1000,447,130,108,14040,1
159.xml,159,159.jpg,159,159.jpg,159,0,crack,Unspecified,0,0,1024,1024,528,149,603,435,75,286,21450,1
16.xml,16,16.jpg,16,16.jpg,16,0,craze,Unspecified,0,0,1024,1024,180,214,389,295,209,81,16929,1
160.xml,160,160.jpg,160,160.jpg,160,0,corrosion,Unspecified,0,0,1024,1024,450,10,656,1005,206,995,204970,1
161.xml,161,161.jpg,161,161.jpg,161,0,corrosion,Unspecified,0,0,1024,1024,450,8,878,1020,428,1012,433136,1
162.xml,162,162.jpg,162,162.jpg,162,0,corrosion,Unspecified,0,0,1024,1024,348,16,441,428,93,412,38316,1
162.xml,162,162.jpg,162,162.jpg,162,0,corrosion,Unspecified,0,0,1024,1024,392,444,491,1013,99,569,56331,1
163.xml,163,163.jpg,163,163.jpg,163,0,hide_craze,Unspecified,0,0,1024,1024,517,263,577,400,60,137,8220,1
164.xml,164,164.jpg,164,164.jpg,164,0,crack,Unspecified,0,0,1024,1024,386,413,689,691,303,278,84234,1
165.xml,165,165.jpg,165,165.jpg,165,0,corrosion,Unspecified,0,0,1024,1024,208,31,481,486,273,455,124215,1
165.xml,165,165.jpg,165,165.jpg,165,0,corrosion,Unspecified,0,0,1024,1024,256,502,750,1019,494,517,255398,1
166.xml,166,166.jpg,166,166.jpg,166,0,craze,Unspecified,0,0,1024,1024,295,305,584,406,289,101,29189,1
167.xml,167,167.jpg,167,167.jpg,167,0,craze,Unspecified,0,0,1024,1024,181,8,341,300,160,292,46720,1
167.xml,167,167.jpg,167,167.jpg,167,0,craze,Unspecified,0,0,1024,1024,422,14,898,800,476,786,374136,1
168.xml,168,168.jpg,168,168.jpg,168,0,crack,Unspecified,0,0,1024,1024,391,414,694,685,303,271,82113,1
169.xml,169,169.jpg,169,169.jpg,169,0,craze,Unspecified,0,0,1024,1024,637,333,959,456,322,123,39606,1
