cropFileName,subset,sourceImageFileName,sourceImageStem,trueClassIndex,trueClassName,cropWidth,cropHeight,hasXmlFilenameMismatch,isExactDuplicateImage,isCrossSplitDuplicateImage,predictedClassIndex,predictedClassName
val__562__obj001__crack.png,val,562.jpg,562,4,crack,117,294,0,0,0,4,crack
val__562__obj002__crack.png,val,562.jpg,562,4,crack,244,415,0,0,0,4,crack
val__567__obj001__crack.png,val,567.jpg,567,4,crack,197,628,0,0,0,4,crack
val__584__obj001__crack.png,val,584.jpg,584,4,crack,306,686,0,0,0,4,crack
val__59__obj001__crack.png,val,59.jpg,59,4,crack,136,234,0,0,0,4,crack
val__602__obj001__crack.png,val,602.jpg,602,4,crack,511,346,0,0,0,5,hide_craze
val__69__obj001__crack.png,val,69.jpg,69,4,crack,167,185,0,0,0,0,craze
val__69__obj002__crack.png,val,69.jpg,69,4,crack,167,140,0,0,0,0,craze
val__70__obj001__crack.png,val,70.jpg,70,4,crack,208,354,0,0,0,4,crack
val__70__obj002__crack.png,val,70.jpg,70,4,crack,114,450,0,0,0,4,crack
val__738__obj001__crack.png,val,738.jpg,738,4,crack,103,474,0,0,0,4,crack
val__739__obj001__crack.png,val,739.jpg,739,4,crack,181,156,0,0,0,2,surface_injure
val__739__obj002__crack.png,val,739.jpg,739,4,crack,169,165,0,0,0,4,crack
val__780__obj001__crack.png,val,780.jpg,780,4,crack,303,271,1,0,0,4,crack
val__792__obj001__crack.png,val,792.jpg,792,4,crack,186,125,1,0,0,4,crack
val__792__obj002__crack.png,val,792.jpg,792,4,crack,166,147,1,0,0,4,crack
val__831__obj001__crack.png,val,831.jpg,831,4,crack,183,105,1,0,0,4,crack
val__831__obj002__crack.png,val,831.jpg,831,4,crack,147,139,1,0,0,4,crack
val__869__obj001__crack.png,val,869.jpg,869,4,crack,61,231,1,0,0,4,crack
val__869__obj002__crack.png,val,869.jpg,869,4,crack,178,297,1,0,0,4,crack
val__903__obj001__crack.png,val,903.jpg,903,4,crack,108,59,1,0,0,4,crack
val__911__obj001__crack.png,val,911.jpg,911,4,crack,275,586,1,0,0,0,craze
val__913__obj001__crack.png,val,913.jpg,913,4,crack,236,306,1,0,0,5,hide_craze
val__913__obj002__crack.png,val,913.jpg,913,4,crack,72,229,1,0,0,4,crack
val__953__obj001__crack.png,val,953.jpg,953,4,crack,219,344,1,0,0,4,crack
val__964__obj001__crack.png,val,964.jpg,964,4,crack,188,264,1,0,0,4,crack
val__1024__obj001__craze.png,val,1024.jpg,1024,0,craze,446,120,1,0,0,0,craze
val__1036__obj001__craze.png,val,1036.jpg,1036,0,craze,797,431,1,0,0,0,craze
val__117__obj001__craze.png,val,117.jpg,117,0,craze,621,652,0,0,0,0,craze
val__123__obj001__craze.png,val,123.jpg,123,0,craze,102,188,0,0,0,0,craze
val__123__obj002__craze.png,val,123.jpg,123,0,craze,114,359,0,0,0,0,craze
val__123__obj003__craze.png,val,123.jpg,123,0,craze,128,338,0,0,0,0,craze
val__135__obj001__craze.png,val,135.jpg,135,0,craze,211,187,0,0,0,0,craze
val__135__obj002__craze.png,val,135.jpg,135,0,craze,292,336,0,0,0,0,craze
val__135__obj003__craze.png,val,135.jpg,135,0,craze,407,398,0,0,0,0,craze
val__169__obj001__craze.png,val,169.jpg,169,0,craze,322,123,0,0,0,2,surface_injure
val__21__obj001__craze.png,val,21.jpg,21,0,craze,108,358,0,0,0,4,crack
val__219__obj001__craze.png,val,219.jpg,219,0,craze,112,196,0,0,0,0,craze
val__219__obj002__craze.png,val,219.jpg,219,0,craze,178,275,0,0,0,5,hide_craze
val__219__obj003__craze.png,val,219.jpg,219,0,craze,508,730,0,0,0,0,craze
val__235__obj001__craze.png,val,235.jpg,235,0,craze,482,408,0,0,0,0,craze
val__243__obj001__craze.png,val,243.jpg,243,0,craze,111,378,0,0,0,4,crack
val__253__obj001__craze.png,val,253.jpg,253,0,craze,142,363,0,0,0,4,crack
val__319__obj001__craze.png,val,319.jpg,319,0,craze,243,186,0,0,0,0,craze
val__319__obj002__craze.png,val,319.jpg,319,0,craze,302,378,0,0,0,0,craze
val__319__obj003__craze.png,val,319.jpg,319,0,craze,394,391,0,0,0,0,craze
val__347__obj001__craze.png,val,347.jpg,347,0,craze,418,869,0,0,0,4,crack
val__382__obj001__craze.png,val,382.jpg,382,0,craze,211,287,0,0,0,0,craze
val__685__obj001__craze.png,val,685.jpg,685,0,craze,309,638,0,0,0,2,surface_injure
val__685__obj002__craze.png,val,685.jpg,685,0,craze,221,357,0,0,0,3,thunderstrike
val__730__obj001__craze.png,val,730.jpg,730,0,craze,64,168,0,0,0,2,surface_injure
val__736__obj001__craze.png,val,736.jpg,736,0,craze,352,342,0,0,0,2,surface_injure
val__765__obj001__craze.png,val,765.jpg,765,0,craze,407,328,0,0,0,0,craze
val__779__obj001__craze.png,val,779.jpg,779,0,craze,289,101,1,0,0,0,craze
val__783__obj001__craze.png,val,783.jpg,783,0,craze,437,285,1,0,0,0,craze
val__783__obj002__craze.png,val,783.jpg,783,0,craze,250,208,1,0,0,0,craze
val__784__obj001__craze.png,val,784.jpg,784,0,craze,906,200,1,0,0,0,craze
val__787__obj001__craze.png,val,787.jpg,787,0,craze,882,337,0,0,0,0,craze
val__797__obj001__craze.png,val,797.jpg,797,0,craze,397,318,0,0,0,0,craze
val__80__obj001__craze.png,val,80.jpg,80,0,craze,152,147,0,0,0,0,craze
val__80__obj002__craze.png,val,80.jpg,80,0,craze,209,233,0,0,0,0,craze
val__80__obj003__craze.png,val,80.jpg,80,0,craze,230,268,0,0,0,0,craze
val__803__obj001__craze.png,val,803.jpg,803,0,craze,108,358,1,0,0,4,crack
val__826__obj001__craze.png,val,826.jpg,826,0,craze,375,307,1,0,0,0,craze
val__826__obj002__craze.png,val,826.jpg,826,0,craze,367,450,1,0,0,0,craze
val__826__obj003__craze.png,val,826.jpg,826,0,craze,243,151,1,0,0,0,craze
val__861__obj001__craze.png,val,861.jpg,861,0,craze,477,444,1,0,0,0,craze
val__87__obj001__craze.png,val,87.jpg,87,0,craze,828,604,0,0,0,2,surface_injure
val__981__obj001__craze.png,val,981.jpg,981,0,craze,401,126,1,0,0,0,craze
val__1000__obj001__hide_craze.png,val,1000.jpg,1000,5,hide_craze,420,214,1,0,0,1,corrosion
val__1026__obj001__hide_craze.png,val,1026.jpg,1026,5,hide_craze,419,230,1,0,0,5,hide_craze
val__1026__obj002__hide_craze.png,val,1026.jpg,1026,5,hide_craze,415,125,1,0,0,5,hide_craze
val__1059__obj001__hide_craze.png,val,1059.jpg,1059,5,hide_craze,200,239,1,0,0,5,hide_craze
val__114__obj001__hide_craze.png,val,114.jpg,114,5,hide_craze,52,360,0,0,0,5,hide_craze
val__114__obj002__hide_craze.png,val,114.jpg,114,5,hide_craze,84,596,0,0,0,5,hide_craze
val__254__obj001__hide_craze.png,val,254.jpg,254,5,hide_craze,264,56,0,0,0,5,hide_craze
val__300__obj001__hide_craze.png,val,300.jpg,300,5,hide_craze,89,996,0,0,0,5,hide_craze
val__362__obj001__hide_craze.png,val,362.jpg,362,5,hide_craze,238,282,0,0,0,5,hide_craze
val__382__obj002__hide_craze.png,val,382.jpg,382,5,hide_craze,42,181,0,0,0,5,hide_craze
val__382__obj003__hide_craze.png,val,382.jpg,382,5,hide_craze,375,132,0,0,0,5,hide_craze
val__420__obj001__hide_craze.png,val,420.jpg,420,5,hide_craze,35,154,0,0,0,1,corrosion
val__448__obj001__hide_craze.png,val,448.jpg,448,5,hide_craze,37,140,0,0,0,2,surface_injure
val__453__obj001__hide_craze.png,val,453.jpg,453,5,hide_craze,130,276,0,0,0,2,surface_injure
val__497__obj001__hide_craze.png,val,497.jpg,497,5,hide_craze,222,255,0,0,0,5,hide_craze
val__519__obj001__hide_craze.png,val,519.jpg,519,5,hide_craze,46,702,0,0,0,5,hide_craze
val__526__obj001__hide_craze.png,val,526.jpg,526,5,hide_craze,367,350,0,0,0,5,hide_craze
val__55__obj001__hide_craze.png,val,55.jpg,55,5,hide_craze,464,234,0,0,0,5,hide_craze
val__60__obj001__hide_craze.png,val,60.jpg,60,5,hide_craze,26,263,0,0,0,5,hide_craze
val__613__obj001__hide_craze.png,val,613.jpg,613,5,hide_craze,753,858,0,0,0,5,hide_craze
val__62__obj001__hide_craze.png,val,62.jpg,62,5,hide_craze,27,95,0,0,0,5,hide_craze
val__621__obj001__hide_craze.png,val,621.jpg,621,5,hide_craze,592,605,0,0,0,5,hide_craze
val__654__obj001__hide_craze.png,val,654.jpg,654,5,hide_craze,97,44,0,0,0,5,hide_craze
val__665__obj001__hide_craze.png,val,665.jpg,665,5,hide_craze,71,68,0,0,0,5,hide_craze
val__675__obj001__hide_craze.png,val,675.jpg,675,5,hide_craze,339,397,0,0,0,5,hide_craze
val__698__obj001__hide_craze.png,val,698.jpg,698,5,hide_craze,625,648,0,0,0,5,hide_craze
val__7__obj001__hide_craze.png,val,7.jpg,7,5,hide_craze,33,243,0,0,0,4,crack
val__706__obj001__hide_craze.png,val,706.jpg,706,5,hide_craze,541,322,0,0,0,5,hide_craze
val__730__obj002__hide_craze.png,val,730.jpg,730,5,hide_craze,25,237,0,0,0,5,hide_craze
val__768__obj001__hide_craze.png,val,768.jpg,768,5,hide_craze,206,484,1,0,0,5,hide_craze
val__918__obj001__hide_craze.png,val,918.jpg,918,5,hide_craze,53,156,1,0,0,2,surface_injure
val__918__obj002__hide_craze.png,val,918.jpg,918,5,hide_craze,33,69,1,0,0,5,hide_craze
val__918__obj003__hide_craze.png,val,918.jpg,918,5,hide_craze,59,115,1,0,0,3,thunderstrike
val__985__obj001__hide_craze.png,val,985.jpg,985,5,hide_craze,452,601,1,0,0,5,hide_craze
val__99__obj001__hide_craze.png,val,99.jpg,99,5,hide_craze,526,42,0,0,0,5,hide_craze
val__991__obj001__hide_craze.png,val,991.jpg,991,5,hide_craze,162,34,1,0,0,5,hide_craze
val__991__obj002__hide_craze.png,val,991.jpg,991,5,hide_craze,446,69,1,0,0,5,hide_craze
val__1000__obj002__surface_injure.png,val,1000.jpg,1000,2,surface_injure,58,135,1,0,0,2,surface_injure
val__1015__obj001__surface_injure.png,val,1015.jpg,1015,2,surface_injure,689,458,1,0,0,2,surface_injure
val__108__obj001__surface_injure.png,val,108.jpg,108,2,surface_injure,192,925,0,0,0,2,surface_injure
val__108__obj002__surface_injure.png,val,108.jpg,108,2,surface_injure,86,779,0,0,0,5,hide_craze
val__11__obj001__surface_injure.png,val,11.jpg,11,2,surface_injure,84,71,0,0,0,2,surface_injure
val__128__obj001__surface_injure.png,val,128.jpg,128,2,surface_injure,107,56,0,0,0,3,thunderstrike
val__131__obj001__surface_injure.png,val,131.jpg,131,2,surface_injure,129,180,0,0,0,2,surface_injure
val__169__obj002__surface_injure.png,val,169.jpg,169,2,surface_injure,130,66,0,0,0,2,surface_injure
val__19__obj001__surface_injure.png,val,19.jpg,19,2,surface_injure,689,336,0,0,0,2,surface_injure
val__19__obj002__surface_injure.png,val,19.jpg,19,2,surface_injure,58,86,0,0,0,0,craze
val__245__obj001__surface_injure.png,val,245.jpg,245,2,surface_injure,210,308,0,0,0,2,surface_injure
val__245__obj002__surface_injure.png,val,245.jpg,245,2,surface_injure,350,208,0,0,0,2,surface_injure
val__246__obj001__surface_injure.png,val,246.jpg,246,2,surface_injure,75,61,0,0,0,2,surface_injure
val__314__obj001__surface_injure.png,val,314.jpg,314,2,surface_injure,104,273,0,0,0,2,surface_injure
val__314__obj002__surface_injure.png,val,314.jpg,314,2,surface_injure,46,73,0,0,0,2,surface_injure
val__331__obj001__surface_injure.png,val,331.jpg,331,2,surface_injure,103,71,0,0,0,2,surface_injure
val__331__obj002__surface_injure.png,val,331.jpg,331,2,surface_injure,45,44,0,0,0,2,surface_injure
val__331__obj003__surface_injure.png,val,331.jpg,331,2,surface_injure,58,78,0,0,0,2,surface_injure
val__331__obj004__surface_injure.png,val,331.jpg,331,2,surface_injure,136,197,0,0,0,2,surface_injure
val__331__obj005__surface_injure.png,val,331.jpg,331,2,surface_injure,176,194,0,0,0,2,surface_injure
val__412__obj001__surface_injure.png,val,412.jpg,412,2,surface_injure,522,210,0,0,0,0,craze
val__412__obj002__surface_injure.png,val,412.jpg,412,2,surface_injure,433,317,0,0,0,0,craze
val__416__obj001__surface_injure.png,val,416.jpg,416,2,surface_injure,103,236,0,0,0,1,corrosion
val__441__obj001__surface_injure.png,val,441.jpg,441,2,surface_injure,212,76,0,0,0,1,corrosion
val__445__obj001__surface_injure.png,val,445.jpg,445,2,surface_injure,631,86,0,0,0,2,surface_injure
val__462__obj001__surface_injure.png,val,462.jpg,462,2,surface_injure,50,78,0,0,0,2,surface_injure
val__462__obj002__surface_injure.png,val,462.jpg,462,2,surface_injure,128,102,0,0,0,2,surface_injure
val__462__obj003__surface_injure.png,val,462.jpg,462,2,surface_injure,67,48,0,0,0,2,surface_injure
val__462__obj004__surface_injure.png,val,462.jpg,462,2,surface_injure,117,165,0,0,0,2,surface_injure
val__478__obj001__surface_injure.png,val,478.jpg,478,2,surface_injure,157,414,0,0,0,5,hide_craze
val__478__obj002__surface_injure.png,val,478.jpg,478,2,surface_injure,111,213,0,0,0,1,corrosion
val__484__obj001__surface_injure.png,val,484.jpg,484,2,surface_injure,136,80,0,0,0,2,surface_injure
val__484__obj002__surface_injure.png,val,484.jpg,484,2,surface_injure,97,90,0,0,0,2,surface_injure
val__484__obj003__surface_injure.png,val,484.jpg,484,2,surface_injure,183,233,0,0,0,2,surface_injure
val__512__obj001__surface_injure.png,val,512.jpg,512,2,surface_injure,80,50,0,0,0,2,surface_injure
val__512__obj002__surface_injure.png,val,512.jpg,512,2,surface_injure,115,136,0,0,0,2,surface_injure
val__529__obj001__surface_injure.png,val,529.jpg,529,2,surface_injure,304,209,0,0,0,2,surface_injure
val__543__obj001__surface_injure.png,val,543.jpg,543,2,surface_injure,536,225,0,0,0,2,surface_injure
val__543__obj002__surface_injure.png,val,543.jpg,543,2,surface_injure,130,392,0,0,0,2,surface_injure
val__543__obj003__surface_injure.png,val,543.jpg,543,2,surface_injure,189,64,0,0,0,2,surface_injure
val__543__obj004__surface_injure.png,val,543.jpg,543,2,surface_injure,74,318,0,0,0,2,surface_injure
val__545__obj001__surface_injure.png,val,545.jpg,545,2,surface_injure,295,245,0,0,0,2,surface_injure
val__621__obj002__surface_injure.png,val,621.jpg,621,2,surface_injure,177,149,0,0,0,2,surface_injure
val__621__obj003__surface_injure.png,val,621.jpg,621,2,surface_injure,144,137,0,0,0,1,corrosion
val__646__obj001__surface_injure.png,val,646.jpg,646,2,surface_injure,61,85,0,0,0,2,surface_injure
val__656__obj001__surface_injure.png,val,656.jpg,656,2,surface_injure,58,95,0,0,0,2,surface_injure
val__661__obj001__surface_injure.png,val,661.jpg,661,2,surface_injure,128,80,0,0,0,2,surface_injure
val__669__obj001__surface_injure.png,val,669.jpg,669,2,surface_injure,169,245,0,0,0,2,surface_injure
val__669__obj002__surface_injure.png,val,669.jpg,669,2,surface_injure,51,96,0,0,0,2,surface_injure
val__674__obj001__surface_injure.png,val,674.jpg,674,2,surface_injure,94,61,0,0,0,2,surface_injure
val__687__obj001__surface_injure.png,val,687.jpg,687,2,surface_injure,186,127,0,0,0,2,surface_injure
val__740__obj001__surface_injure.png,val,740.jpg,740,2,surface_injure,407,166,0,0,0,3,thunderstrike
val__745__obj001__surface_injure.png,val,745.jpg,745,2,surface_injure,345,428,1,0,0,2,surface_injure
val__747__obj001__surface_injure.png,val,747.jpg,747,2,surface_injure,35,55,1,0,0,2,surface_injure
val__747__obj002__surface_injure.png,val,747.jpg,747,2,surface_injure,37,210,1,0,0,1,corrosion
val__747__obj003__surface_injure.png,val,747.jpg,747,2,surface_injure,134,78,1,0,0,2,surface_injure
val__747__obj004__surface_injure.png,val,747.jpg,747,2,surface_injure,38,94,1,0,0,2,surface_injure
val__747__obj005__surface_injure.png,val,747.jpg,747,2,surface_injure,67,236,1,0,0,2,surface_injure
val__747__obj006__surface_injure.png,val,747.jpg,747,2,surface_injure,52,50,1,0,0,2,surface_injure
val__747__obj007__surface_injure.png,val,747.jpg,747,2,surface_injure,42,38,1,0,0,2,surface_injure
val__749__obj001__surface_injure.png,val,749.jpg,749,2,surface_injure,84,71,1,0,0,2,surface_injure
val__809__obj001__surface_injure.png,val,809.jpg,809,2,surface_injure,848,530,0,0,0,2,surface_injure
val__829__obj001__surface_injure.png,val,829.jpg,829,2,surface_injure,277,114,1,0,0,2,surface_injure
val__846__obj001__surface_injure.png,val,846.jpg,846,2,surface_injure,647,138,1,0,0,2,surface_injure
val__851__obj001__surface_injure.png,val,851.jpg,851,2,surface_injure,26,32,0,0,0,2,surface_injure
val__851__obj002__surface_injure.png,val,851.jpg,851,2,surface_injure,53,44,0,0,0,2,surface_injure
val__851__obj003__surface_injure.png,val,851.jpg,851,2,surface_injure,37,36,0,0,0,2,surface_injure
val__851__obj004__surface_injure.png,val,851.jpg,851,2,surface_injure,81,124,0,0,0,2,surface_injure
val__851__obj005__surface_injure.png,val,851.jpg,851,2,surface_injure,118,117,0,0,0,2,surface_injure
val__879__obj001__surface_injure.png,val,879.jpg,879,2,surface_injure,272,322,1,0,0,2,surface_injure
val__914__obj001__surface_injure.png,val,914.jpg,914,2,surface_injure,165,355,1,0,0,2,surface_injure
val__914__obj002__surface_injure.png,val,914.jpg,914,2,surface_injure,473,238,1,0,0,2,surface_injure
val__954__obj001__surface_injure.png,val,954.jpg,954,2,surface_injure,181,430,1,0,0,2,surface_injure
val__956__obj001__surface_injure.png,val,956.jpg,956,2,surface_injure,566,186,0,0,0,2,surface_injure
val__956__obj002__surface_injure.png,val,956.jpg,956,2,surface_injure,160,493,0,0,0,2,surface_injure
val__956__obj003__surface_injure.png,val,956.jpg,956,2,surface_injure,85,440,0,0,0,1,corrosion
val__96__obj001__surface_injure.png,val,96.jpg,96,2,surface_injure,131,134,0,0,0,2,surface_injure
val__96__obj002__surface_injure.png,val,96.jpg,96,2,surface_injure,142,108,0,0,0,2,surface_injure
val__981__obj002__surface_injure.png,val,981.jpg,981,2,surface_injure,139,52,1,0,0,2,surface_injure
val__100__obj001__thunderstrike.png,val,100.jpg,100,3,thunderstrike,348,819,0,0,0,3,thunderstrike
val__1033__obj001__thunderstrike.png,val,1033.jpg,1033,3,thunderstrike,346,178,1,0,0,3,thunderstrike
val__108__obj003__thunderstrike.png,val,108.jpg,108,3,thunderstrike,369,487,0,0,0,3,thunderstrike
val__194__obj001__thunderstrike.png,val,194.jpg,194,3,thunderstrike,53,65,0,0,0,2,surface_injure
val__194__obj002__thunderstrike.png,val,194.jpg,194,3,thunderstrike,125,106,0,0,0,3,thunderstrike
val__205__obj003__thunderstrike.png,val,205.jpg,205,3,thunderstrike,53,114,0,0,0,2,surface_injure
val__543__obj005__thunderstrike.png,val,543.jpg,543,3,thunderstrike,294,312,0,0,0,3,thunderstrike
val__60__obj002__thunderstrike.png,val,60.jpg,60,3,thunderstrike,310,83,0,0,0,3,thunderstrike
val__62__obj002__thunderstrike.png,val,62.jpg,62,3,thunderstrike,493,105,0,0,0,3,thunderstrike
val__77__obj001__thunderstrike.png,val,77.jpg,77,3,thunderstrike,112,83,0,0,0,0,craze
val__835__obj001__thunderstrike.png,val,835.jpg,835,3,thunderstrike,113,220,0,0,0,3,thunderstrike
val__922__obj001__thunderstrike.png,val,922.jpg,922,3,thunderstrike,144,43,1,0,0,3,thunderstrike
val__956__obj004__thunderstrike.png,val,956.jpg,956,3,thunderstrike,308,428,0,0,0,3,thunderstrike
